# Accelerometer Data File
# Started @Mon Jan 16 23:02:36 GMT+05:30 2017
#
#
# sensor Vendor: Kionix
# sensor Name: 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
2.361 1.939 8.136 0
2.142 1.745 7.322 9
1.954 1.596 6.616 10
1.733 1.428 5.997 10
1.499 1.268 5.346 10
1.34 1.089 4.863 10
1.189 1.023 4.377 10
1.087 0.947 3.896 10
0.996 0.852 3.446 9
0.905 0.715 3.11 10
0.84 0.644 2.807 10
0.773 0.614 2.484 10
0.653 0.552 2.295 10
0.596 0.488 2.109 10
0.545 0.465 1.898 10
0.465 0.427 1.725 10
0.435 0.341 1.536 10
0.357 0.299 1.287 9
0.313 0.269 1.141 10
0.29 0.199 1.044 10
0.27 0.205 0.983 10
0.217 0.193 0.893 10
0.204 0.165 0.873 10
0.132 0.14 0.76 10
0.093 0.169 0.709 9
0.092 0.16 0.681 10
0.065 0.144 0.605 10
0.059 0.121 0.544 10
0.044 0.092 0.498 10
0.048 0.057 0.362 10
0.043 0.068 0.266 10
0.039 0.061 0.256 9
0.027 0.038 0.282 10
0.05 0.06 0.28 10
0.019 0.054 0.26 10
0.008 0.048 0.269 10
0.0 0.035 0.276 10
-0.009 0.04 0.257 10
-0.008 0.045 0.214 10
0.001 -0.002 0.124 9
0.044 0.014 0.137 10
0.039 0.056 0.089 10
0.035 0.007 0.097 10
0.006 -0.01 0.062 10
-0.011 0.025 0.064 10
-0.019 0.014 0.083 10
-0.043 0.004 0.084 10
-0.047 -0.004 0.093 9
-0.033 0.038 0.075 10
-0.03 0.026 0.05 10
-0.036 0.023 0.053 10
-0.006 0.038 0.039 10
0.002 0.043 0.044 10
0.01 0.021 -0.011 10
0.018 0.002 0.024 10
0.025 0.002 0.047 9
-0.011 -0.006 0.042 10
0.006 -0.006 0.003 10
0.023 -0.022 -0.005 10
0.072 -0.037 -0.09 10
0.125 -0.051 0.09 10
0.078 -0.08 0.185 10
0.027 -0.15 0.278 9
-0.035 -0.074 0.285 10
-0.083 -0.058 0.515 10
-0.066 -0.001 0.662 10
-0.059 0.033 0.5 10
-0.079 0.004 0.356 10
-0.149 -0.487 0.449 10
-0.212 -0.955 0.465 10
-0.208 -0.593 0.461 9
-0.161 -0.594 0.717 10
-0.102 -0.301 0.792 10
0.054 -0.349 0.686 10
0.566 -0.279 0.385 10
0.466 0.463 0.355 10
0.256 0.434 1.113 10
0.058 0.011 1.811 10
-0.094 -0.36 2.259 10
-0.127 -0.41 2.869 9
-0.08 -0.291 3.444 10
-0.02 -0.202 3.815 10
0.11 0.283 3.916 10
0.409 0.755 3.576 10
0.549 0.627 3.098 10
0.287 0.254 2.495 10
-0.025 0.117 1.901 9
-0.264 -0.075 1.668 10
-0.41 -0.317 1.69 10
-0.515 -0.475 2.082 10
-0.507 -0.609 2.83 10
-0.266 -0.539 3.297 10
0.027 -0.563 3.484 10
0.412 -0.731 3.386 10
0.922 -0.856 2.901 9
1.261 -0.606 2.128 10
1.488 -0.382 1.665 10
1.494 -0.301 1.249 10
1.164 -0.253 0.805 10
0.789 -0.271 0.431 10
0.4 -0.218 -0.645 10
-0.381 -0.446 -1.227 10
-0.851 -0.427 -1.484 9
-1.111 -0.522 -2.438 10
-1.379 -0.78 -2.815 10
-1.241 -0.849 -3.154 10
-1.108 -0.66 -3.623 10
-1.023 -0.422 -3.795 10
-0.826 -0.061 -3.717 10
-0.812 0.108 -3.656 10
-0.964 0.054 -3.187 9
-0.841 0.023 -2.515 10
-0.249 0.227 -2.142 10
0.206 0.506 -2.419 10
0.608 0.585 -2.66 10
0.892 0.862 -3.066 10
0.682 1.078 -3.415 10
0.467 0.841 -3.392 10
0.334 0.584 -3.363 10
0.292 0.534 -3.553 9
0.194 0.3 -3.697 10
0.037 -0.143 -3.689 10
0.007 -0.172 -3.708 10
0.032 -0.042 -3.811 10
0.141 0.064 -4.051 10
0.101 -0.208 -4.318 10
0.005 -0.61 -4.291 9
-0.15 -0.618 -4.069 10
-0.195 -0.47 -3.964 10
-0.184 -0.44 -3.791 10
-0.192 -0.318 -3.541 10
-0.293 -0.243 -3.239 10
-0.609 -0.176 -2.941 10
-0.849 0.022 -2.836 9
-0.79 0.037 -2.854 10
-0.823 0.016 -3.026 10
-0.836 -0.08 -3.188 10
-0.649 -0.132 -3.214 10
-0.429 0.035 -3.513 10
-0.463 -0.019 -3.671 10
-0.512 -0.146 -3.795 10
-0.495 -0.2 -3.777 9
-0.532 -0.051 -3.624 10
-0.53 -0.115 -3.253 10
-0.434 -0.233 -2.901 10
-0.278 -0.14 -2.62 10
-0.147 -0.161 -2.228 10
0.125 -0.257 -1.764 10
0.466 -0.162 -1.458 10
0.695 -0.034 -1.063 10
0.901 0.193 -0.732 9
1.182 0.561 -0.28 14
1.107 0.91 0.471 6
0.72 1.104 1.131 10
0.381 1.088 1.569 10
0.179 1.039 1.516 10
0.006 0.935 1.14 10
-0.097 0.807 0.716 10
-0.165 0.537 0.265 10
-0.217 0.035 -0.088 9
-0.273 -0.442 0.118 10
-0.384 -0.708 0.459 10
-0.345 -0.033 0.379 10
-0.302 0.529 0.263 10
-0.28 0.442 0.108 10
-0.132 0.251 0.045 10
0.01 -0.247 -0.062 10
-0.223 -1.041 0.573 9
-0.451 -1.282 1.481 10
-0.457 -0.973 1.72 10
-0.48 -0.798 1.703 10
-0.518 -0.442 1.792 10
-0.527 -1.475 2.586 10
-0.81 -3.043 3.388 10
-1.212 -3.368 5.135 10
-1.298 -3.341 7.448 9
-1.245 -2.438 9.272 10
-0.673 -0.798 10.887 10
-0.157 -0.098 10.945 10
-0.779 -0.976 9.583 10
-1.804 -2.567 8.271 10
-2.779 -4.086 7.203 10
-3.38 -4.962 6.336 10
-3.214 -4.491 7.013 9
-2.402 -2.81 7.897 10
-2.075 -1.632 7.573 10
-2.48 -1.9 6.945 10
-3.007 -2.917 6.707 10
-3.172 -3.039 5.769 10
-2.717 -2.873 5.77 10
-1.945 -2.68 5.908 10
-1.311 -2.024 6.058 9
-0.309 -0.546 5.271 10
0.221 0.275 4.081 10
0.457 0.161 3.017 10
0.635 -0.027 1.819 10
0.83 -0.041 0.974 13
0.859 0.195 1.092 7
1.041 0.486 1.56 10
1.135 0.877 1.369 9
1.366 1.116 0.508 10
1.333 1.048 -0.636 10
1.234 0.822 -2.357 10
1.128 0.628 -4.0 10
