# Accelerometer Data File
# Started @Mon Jan 16 23:01:50 GMT+05:30 2017
#
#
# sensor Vendor: Kionix
# sensor Name: 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
2.499 2.723 8.179 0
2.18 2.425 7.344 9
1.971 2.2 6.566 10
1.808 2.031 5.936 10
1.636 1.854 5.333 10
1.438 1.608 4.852 10
1.242 1.43 4.289 10
1.118 1.27 3.774 10
0.98 1.126 3.405 9
0.891 0.996 3.125 10
0.776 0.887 2.769 10
0.681 0.756 2.527 10
0.604 0.74 2.265 10
0.561 0.675 2.125 10
0.531 0.616 1.895 10
0.512 0.589 1.706 10
0.478 0.461 1.544 10
0.404 0.449 1.32 10
0.39 0.447 1.292 10
0.351 0.351 1.18 9
0.333 0.411 1.079 10
0.282 0.404 0.902 10
0.237 0.32 0.838 10
0.222 0.28 0.728 10
0.208 0.226 0.664 10
0.179 0.195 0.658 10
0.126 0.166 0.54 9
0.105 0.15 0.426 10
0.06 0.092 0.349 10
0.054 0.082 0.262 10
0.04 0.057 0.227 10
0.027 0.077 0.239 10
0.016 0.104 0.284 10
0.057 0.111 0.23 9
0.043 0.074 0.258 11
0.073 0.101 0.215 9
0.057 0.091 0.185 10
0.043 0.047 0.192 10
0.038 0.025 0.164 10
0.06 0.074 0.157 10
0.071 0.067 0.167 10
0.064 0.034 0.141 10
0.049 0.056 0.084 9
0.027 0.008 0.119 10
0.033 0.059 0.133 10
0.021 0.044 0.093 10
0.027 -0.011 0.058 10
0.042 0.015 0.113 10
0.046 0.013 0.084 10
0.024 -0.004 0.093 10
-0.02 0.004 0.04 9
-0.035 0.021 -0.014 10
-0.015 -0.015 0.038 10
0.02 -0.031 0.06 10
0.01 0.023 0.062 10
0.0 0.029 0.048 10
-0.025 0.009 0.0 10
-0.04 -0.042 -0.034 10
-0.01 -0.03 0.003 9
0.008 0.041 -0.014 10
0.033 0.02 -0.004 10
0.038 0.018 -0.003 10
-0.017 -0.009 -0.02 10
-0.049 0.026 0.024 10
-0.027 -0.002 -0.003 10
0.009 0.032 0.005 10
0.043 0.029 0.047 9
0.012 0.026 0.008 10
0.003 -0.002 -0.018 10
-0.005 -0.019 -0.05 10
-0.013 -0.008 -0.054 10
0.004 -0.042 -0.04 10
0.021 -0.02 -0.001 10
-0.023 -0.018 0.015 10
-0.021 -0.025 0.014 9
0.006 -0.014 0.021 10
0.005 -0.012 0.01 10
0.048 -0.002 -0.016 10
0.069 0.031 0.08 10
0.036 0.054 0.089 10
0.007 0.031 0.037 10
-0.053 0.028 -0.018 10
-0.039 -0.025 -0.068 9
-0.01 0.011 -0.026 10
0.042 0.018 -0.006 10
0.029 0.077 0.011 10
-0.016 0.069 0.061 10
0.002 0.01 0.029 10
-0.023 0.018 0.0 10
-0.064 -0.018 -0.042 10
-0.04 -0.05 -0.063 9
-0.002 -0.002 -0.014 10
-0.019 -0.01 -0.056 10
-0.025 0.007 0.001 10
-0.005 -0.001 0.052 10
0.02 0.015 0.03 10
-0.024 -0.011 -0.015 10
-0.013 -0.045 -0.022 10
0.013 0.028 -0.055 10
0.02 0.0 -0.023 9
0.01 0.059 0.03 10
0.035 0.062 0.053 10
-0.002 0.047 0.013 10
-0.037 0.034 -0.022 10
-0.016 -0.003 -0.002 10
-0.04 0.005 0.04 10
-0.079 -0.003 0.019 10
-0.054 -0.029 0.0 9
-0.048 -0.034 -0.017 10
0.007 -0.057 0.044 10
-0.036 0.017 0.057 10
-0.015 0.032 0.017 10
0.003 -0.013 -0.018 10
-0.005 -0.038 -0.008 10
0.012 0.017 0.009 10
0.054 -0.001 0.025 9
0.031 -0.035 -0.019 11
0.028 0.002 -0.009 9
0.034 -0.015 -0.034 10
0.022 -0.039 -0.022 10
0.019 -0.009 -0.045 10
0.026 0.017 -0.006 10
0.015 0.032 0.002 10
-0.003 0.02 0.002 10
-0.011 0.044 0.036 9
-0.053 -0.003 0.032 10
-0.082 -0.019 -0.047 10
-0.04 0.042 0.008 10
-0.027 0.063 0.05 10
-0.033 -0.011 -0.04 10
-0.038 0.007 -0.053 10
-0.008 0.006 -0.039 10
0.009 0.014 -0.052 9
0.008 -0.004 -0.004 10
0.024 0.03 -0.004 10
0.03 0.01 -0.003 11
0.027 0.026 0.057 10
0.033 0.075 0.059 10
0.013 0.05 0.045 10
-0.005 0.002 0.014 9
-0.013 0.028 -0.021 10
-0.055 0.033 -0.01 10
