statusId | label
8|test
statusId|sensorName|value|timestamp
8|3-axis Accelerometer|[-1.1971009,2.1452048,11.702858]|1485609775802
8|3-axis Accelerometer|[-1.0630256,1.6089035,11.60709]|1485609775821
8|3-axis Accelerometer|[-1.3790601,1.0630256,10.821792]|1485609775830
8|3-axis Accelerometer|[-2.1068976,1.0055647,9.921572]|1485609775841
8|3-axis Accelerometer|[-2.834735,1.1779473,9.32781]|1485609775851
8|3-axis Accelerometer|[-3.4572272,1.3215994,8.858546]|1485609775860
8|3-axis Accelerometer|[-3.6008794,1.532289,8.408437]|1485609775870
8|3-axis Accelerometer|[-3.265691,1.8579005,8.130709]|1485609775880
8|3-axis Accelerometer|[-3.0550013,2.1260512,7.8625584]|1485609775890
8|3-axis Accelerometer|[-2.9879637,2.1643584,7.8146744]|1485609775900
8|3-axis Accelerometer|[-2.72939,2.0973208,8.494628]|1485609775910
8|3-axis Accelerometer|[-2.432509,1.9536686,9.346964]|1485609775920
8|3-axis Accelerometer|[-2.2409728,1.7142484,10.007763]|1485609775930
8|3-axis Accelerometer|[-2.1643584,1.1779473,10.400413]|1485609775939
8|3-axis Accelerometer|[-2.135628,0.7086837,10.754754]|1485609775949
8|3-axis Accelerometer|[-2.1164744,0.38307226,11.013328]|1485609775959
8|3-axis Accelerometer|[-2.0494366,0.25857377,10.831368]|1485609775969
8|3-axis Accelerometer|[-1.9919758,0.40222588,10.400413]|1485609775979
8|3-axis Accelerometer|[-1.9919758,0.93852705,10.247183]|1485609775989
8|3-axis Accelerometer|[-2.0207062,1.388637,9.959879]|1485609775999
8|3-axis Accelerometer|[-2.087744,1.7046716,9.126697]|1485609776008
8|3-axis Accelerometer|[-2.135628,1.9153614,8.226477]|1485609776018
8|3-axis Accelerometer|[-2.1260512,2.0207062,7.1634517]|1485609776028
8|3-axis Accelerometer|[-2.0590134,2.135628,6.196194]|1485609776038
8|3-axis Accelerometer|[-2.0015526,2.5378537,6.0525417]|1485609776048
8|3-axis Accelerometer|[-1.9919758,3.265691,6.1387334]|1485609776058
8|3-axis Accelerometer|[-2.3654714,3.9073372,9.375694]|1485609776068
8|3-axis Accelerometer|[-2.7964275,3.5242648,11.262324]|1485609776078
8|3-axis Accelerometer|[-2.930503,4.10845,9.356541]|1485609776087
8|3-axis Accelerometer|[-3.6774938,4.644751,7.8912888]|1485609776097
8|3-axis Accelerometer|[-3.6966474,5.6886234,6.8282633]|1485609776107
8|3-axis Accelerometer|[-2.2505496,5.3247046,8.034941]|1485609776117
8|3-axis Accelerometer|[-1.2641385,4.9224787,8.676587]|1485609776126
8|3-axis Accelerometer|[-1.0247183,5.267244,8.350976]|1485609776137
8|3-axis Accelerometer|[-1.043872,5.813122,8.42759]|1485609776147
8|3-axis Accelerometer|[-1.0630256,6.2345014,9.251195]|1485609776157
8|3-axis Accelerometer|[-1.283292,6.033388,9.528923]|1485609776167
8|3-axis Accelerometer|[-1.340753,5.3247046,8.963891]|1485609776176
8|3-axis Accelerometer|[-0.9672575,4.367024,8.66701]|1485609776186
8|3-axis Accelerometer|[-0.90021986,3.916914,9.844957]|1485609776196
8|3-axis Accelerometer|[-1.0055647,3.9456444,10.314221]|1485609776206
8|3-axis Accelerometer|[-0.8810662,3.9264908,9.998186]|1485609776215
8|3-axis Accelerometer|[-0.9576807,3.7541082,10.160992]|1485609776226
8|3-axis Accelerometer|[-0.78529817,3.620033,10.429143]|1485609776236
8|3-axis Accelerometer|[-0.45010993,3.4763808,10.218452]|1485609776246
8|3-axis Accelerometer|[-0.18195933,3.41892,9.701305]|1485609776255
8|3-axis Accelerometer|[0.06703765,3.3806129,9.011775]|1485609776265
8|3-axis Accelerometer|[0.38307226,3.514688,8.37013]|1485609776275
8|3-axis Accelerometer|[-0.20111294,3.5434184,7.776367]|1485609776286
8|3-axis Accelerometer|[-0.62249243,3.3518825,8.350976]|1485609776296
8|3-axis Accelerometer|[-1.9536686,2.4037786,8.121132]|1485609776305
8|3-axis Accelerometer|[-1.2641385,1.5227122,7.795521]|1485609776315
8|3-axis Accelerometer|[0.15322891,0.90979666,7.374141]|1485609776325
8|3-axis Accelerometer|[0.90979666,0.9672575,6.789956]|1485609776335
8|3-axis Accelerometer|[1.7717092,1.4077905,6.483498]|1485609776345
8|3-axis Accelerometer|[2.3654714,1.13964,6.090849]|1485609776355
8|3-axis Accelerometer|[2.96881,0.47884035,6.8761473]|1485609776365
8|3-axis Accelerometer|[3.620033,-0.37349546,7.7572136]|1485609776374
8|3-axis Accelerometer|[3.8307228,-0.90979666,8.475474]|1485609776384
8|3-axis Accelerometer|[4.1276035,-1.3311762,9.375694]|1485609776394
8|3-axis Accelerometer|[4.4819455,-2.0590134,10.6877165]|1485609776406
8|3-axis Accelerometer|[5.2289367,-2.72939,11.415554]|1485609776413
8|3-axis Accelerometer|[7.2113357,-4.10845,11.520899]|1485609776424
8|3-axis Accelerometer|[8.935161,-5.1140146,11.827356]|1485609776434
8|3-axis Accelerometer|[10.208876,-5.1235914,12.210428]|1485609776444
